Filename,FilePath,Duration(seconds)
"A.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/A.mp3","1.017656"
"Among Us (Kill) - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Among Us (Kill) - Sound Effect (HD).mp3","1.280000"
"Among Us (Role Reveal) - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Among Us (Role Reveal) - Sound Effect (HD).mp3","4.623673"
"Baby Cry Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Baby Cry Sound Effect.mp3","2.873469"
"Bamboo hit Sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Bamboo hit Sound effect.mp3","1.619592"
"Bonk - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Bonk - Sound Effect (HD).mp3","2.168163"
"Bruh - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Bruh - Sound Effect (HD).mp3","2.115918"
"Buoon ba~.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Buoon ba~.mp3","6.281062"
"Cartoon Kiss - Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Cartoon Kiss - Sound Effect.mp3","2.951837"
"Children Yay! Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Children Yay! Sound Effect.mp3","7.128000"
"Crickets (Awkward Silence) - Gaming Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Crickets (Awkward Silence) - Gaming Sound Effect (HD).mp3","10.057143"
"Cuoi Khan gia.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Cuoi Khan gia.mp3","5.166563"
"Cuoi troll.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Cuoi troll.mp3","2.035312"
"DJ Record Scratch Sound Effect - copyright free sound effects.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/DJ Record Scratch Sound Effect - copyright free sound effects.mp3","4.176000"
"DUN DUN DUNNN.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/DUN DUN DUNNN.mp3","3.984000"
"Danh Lon.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Danh Lon.mp3","1.668000"
"Discord Notification - Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Discord Notification - Sound Effect.mp3","0.888163"
"Dramatic Vine-Instagram Boom - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Dramatic Vine-Instagram Boom - Sound Effect (HD).mp3","3.120000"
"Drip.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Drip.mp3","0.417500"
"Duck Quack - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Duck Quack - Sound Effect (HD).mp3","3.056327"
"Flashback Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Flashback Sound Effect.mp3","4.466939"
"Ha Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Ha Sound Effect.mp3","0.984000"
"Hahaha sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Hahaha sound effect.mp3","3.552000"
"Hu Waa Waa - Gaming Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Hu Waa Waa - Gaming Sound Effect (HD).mp3","2.063673"
"Huh- (Sound Effect).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Huh- (Sound Effect).mp3","1.536000"
"I like ya cut g Sound Effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/I like ya cut g Sound Effect.mp3","2.533878"
"Kimochi meme.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Kimochi meme.mp3","6.086531"
"Laser.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Laser.mp3","0.364875"
"Meme - Nà ní ---.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Meme - Nà ní ---.mp3","8.376000"
"Nà ní.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Nà ní.mp3","0.939375"
"Oh Ok sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Oh Ok sound effect.mp3","0.992653"
"Oh hell no - Sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Oh hell no - Sound effect.mp3","2.533878"
"Quanh.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Quanh.mp3","0.417500"
"Runnnnnnnnnnn.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Runnnnnnnnnnn.mp3","35.603750"
"SUDDEN SUSPENSE.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/SUDDEN SUSPENSE.mp3","1.272000"
"Slip.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Slip.mp3","0.417500"
"Slurp - Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Slurp - Sound Effect (HD).mp3","2.168163"
"Sound Effect - Camera shutter.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Sound Effect - Camera shutter.mp3","4.536000"
"Sét.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Sét.mp3","7.131429"
"The Price is Right Ding - Gaming Sound Effect (HD).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/The Price is Right Ding - Gaming Sound Effect (HD).mp3","2.011429"
"Thunder Sound effect (1).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Thunder Sound effect (1).mp3","7.131429"
"Tiếng Tính Tiền.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Tiếng Tính Tiền.mp3","5.172245"
"Video Âm Thanh - Nà Ní -.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Video Âm Thanh - Nà Ní -.mp3","5.448000"
"Whoosh sound effect (1).mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Whoosh sound effect (1).mp3","1.071020"
"Wow.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Wow.mp3","2.348438"
"Yeah.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Yeah.mp3","4.201094"
"Yeet sound effect.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Yeet sound effect.mp3","1.368000"
"búng tay.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/búng tay.mp3","0.286687"
"bất ngờ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/bất ngờ.mp3","3.518438"
"bị troll.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/bị troll.mp3","4.300313"
"chan.swf.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chan.swf.mp3","3.753000"
"chay.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chay.mp3","3.805125"
"chào cờ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chào cờ.mp3","9.278250"
"chíu chíu.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/chíu chíu.mp3","1.304688"
"gun 1.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/gun 1.mp3","1.728000"
"gun.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/gun.mp3","1.774375"
"lung linh.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/lung linh.mp3","1.694063"
"nhảy mario.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/nhảy mario.mp3","0.834000"
"no nonon.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/no nonon.mp3","2.632312"
"nope.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/nope.mp3","1.201633"
"tada tada.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tada tada.mp3","1.930937"
"tada.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tada.mp3","0.574063"
"thoi gian cho.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/thoi gian cho.mp3","3.127500"
"ting.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/ting.mp3","0.938250"
"tiếng súng meme.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tiếng súng meme.mp3","17.279438"
"tính tiền.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/tính tiền.mp3","1.198875"
"Ư.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Ư.mp3","0.729750"
"ố ô ồ.mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/ố ô ồ.mp3","17.487938"
"Ồ Ộ .mp3","/Users/hoangtran/Documents/Github/hoang-ai-marketing/workspace/assets/reels/MEME SOUND/Ồ Ộ .mp3","1.704000"
